Reading pref.tcl

# 2025.1_1

# vsim -c -sv_seed 12345 -coverage "+UVM_TESTNAME=my_case0" optimized_tb -do "run -all; coverage save my_case0.12345.ucdb; quit -f" 
# Start time: 15:25:54 on Jan 06,2026
# //  Questa Sim-64
# //  Version 2025.1_1 linux_x86_64 Feb 13 2025
# //
# // Unpublished work. Copyright 2025 Siemens
# //
# // This material contains trade secrets or otherwise confidential information
# // owned by Siemens Industry Software Inc. or its affiliates (collectively,
# // "SISW"), or its licensors. Access to and use of this information is strictly
# // limited as set forth in the Customer's applicable agreements with SISW.
# //
# // This material may not be copied, distributed, or otherwise disclosed outside
# // of the Customer's facilities without the express written permission of SISW,
# // and may not be used in any way not expressly authorized by SISW.
# //
# Loading sv_std.std
# Loading work.wr_if(fast)
# Loading work.rd_if(fast)
# Loading mtiUvm.uvm_pkg(fast)
# Loading work.fifo_uvm_pkg(fast)
# Loading work.testbench_sv_unit(fast)
# Loading mtiUvm.questa_uvm_pkg(fast)
# Loading work.testbench(fast)
# Loading work.wr_if(fast__2)
# Loading work.rd_if(fast__2)
# Loading work.async_fifo(fast)
# Loading work.sync_r2w(fast)
# Loading work.sync_w2r(fast)
# Loading work.fifomem(fast)
# Loading work.rptr_empty(fast)
# Loading work.wptr_full(fast)
# Loading /mnt/apps/public/COE/mg_apps/questa2025.1_1/questasim/uvm-1.1d/linux_x86_64/uvm_dpi.so
# run -all
# ----------------------------------------------------------------
# UVM-1.1d
# (C) 2007-2013 Mentor Graphics Corporation
# (C) 2007-2013 Cadence Design Systems, Inc.
# (C) 2006-2013 Synopsys, Inc.
# (C) 2011-2013 Cypress Semiconductor Corp.
# ----------------------------------------------------------------
# 
#   ***********       IMPORTANT RELEASE NOTES         ************
# 
#   You are using a version of the UVM library that has been compiled
#   with `UVM_NO_DEPRECATED undefined.
#   See http://www.eda.org/svdb/view.php?id=3313 for more details.
# 
#   You are using a version of the UVM library that has been compiled
#   with `UVM_OBJECT_MUST_HAVE_CONSTRUCTOR undefined.
#   See http://www.eda.org/svdb/view.php?id=3770 for more details.
# 
#       (Specify +UVM_NO_RELNOTES to turn off this notice)
# 
# UVM_INFO verilog_src/questa_uvm_pkg-1.2/src/questa_uvm_pkg.sv(277) @ 0: reporter [Questa UVM] QUESTA_UVM-1.2.3
# UVM_INFO verilog_src/questa_uvm_pkg-1.2/src/questa_uvm_pkg.sv(278) @ 0: reporter [Questa UVM]  questa_uvm::init(+struct)
# DATA_DEPTH:16
# UVM_INFO @ 0: reporter [RNTST] Running test my_case0...
# UVM_INFO UVM/write_fifo_monitor.sv(35) @ 0: uvm_test_top.env.i_agt.mon [WRITE_MON] Write FIFO monitor build complete
# UVM_INFO UVM/read_fifo_driver.sv(27) @ 0: uvm_test_top.env.o_agt.drv [READ_DRV] Read FIFO driver build complete
# UVM_INFO UVM/read_fifo_monitor.sv(33) @ 0: uvm_test_top.env.o_agt.mon [READ_MON] Read FIFO monitor build complete
# UVM_INFO UVM/read_fifo_monitor.sv(41) @ 0: uvm_test_top.env.o_agt.mon [READ_MON] Read FIFO monitor started
# UVM_INFO UVM/write_fifo_monitor.sv(44) @ 0: uvm_test_top.env.i_agt.mon [WRITE_MON] Write FIFO monitor started
# UVM_INFO UVM/read_fifo_driver.sv(46) @ 1050000: uvm_test_top.env.o_agt.drv [READ_DRV] Reset released, starting read driver
# UVM_INFO UVM/write_fifo_driver.sv(49) @ 1100000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Reset released, starting write driver
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 1100000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=0 data=0x71
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 1100000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=0 data=0x71
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 1300000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=0 data=0x71
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 1500000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=0 data=0x71
# UVM_INFO UVM/my_case0.sv(37) @ 1500000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 1500000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 1500000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 2550000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 2850000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 2850000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 2850000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 2850000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 2850000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=1 data=0x46
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 2850000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=1 data=0x46
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 2900000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=1 data=0x46
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 3100000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=1 data=0x46
